review,rating_binary,rating,predictions,prediction_proba_max,probability_value
"A widely unknown strange little western with mindblowing colours (probably the same material as it was used in ""Johnny Guitar"", I guess ""Trucolor"" or something, which makes blood drips look like shining rubies), nearly surrealistic scenes with twisted action and characters. Something different, far from being a masterpiece, but there should be paid more attention to this little gem in western encyclopedias.",pos,8,pos,0.6074490694382851,0.7632917011134944
"This film launched my theory about films based on books: Instead of following the cliche ""You've read the book; now see the film,"" if you are looking for a good book to read, try one upon which a movie you like was based, because it'll be 10 times better.I saw this film on its initial release at the National Theater in downtown Eugene and liked it so much that I stayed to see it again. It's a perfect merger of the inspiring talents of one of my favorite actors, Jon Voight, with what became my favorite book, ""The Water Is Wide,"" by Pat Conroy.I can think of no better movie about the nobility of teaching and the ironic challenges of life. Two tiny caveats:(1) The video suffers severely from pan-and-scan and deserves a letterbox version. (2) The title should be restored to the name of the book, a reference to one of the most touching, enigmatic songs ever written",pos,10,pos,0.6997259228735222,0.8983024386240404
"Beautiful film, pure Cassavetes style. Gena Rowland gives a stunning performance of a declining actress, dealing with success, aging, loneliness...and alcoholism. She tries to escape her own subconscious ghosts, embodied by the death spectre of a young girl. Acceptance of oneself, of human condition, though its overall difficulties, is the real purpose of the film. The parallel between the theatrical sequences and the film itself are puzzling: it's like if the stage became a way out for the Heroin. If all american movies could only be that top-quality, dealing with human relations on an adult level, not trying to infantilize and standardize feelings... One of the best dramas ever. 10/10.",pos,10,pos,0.8756232406683363,0.9840059146208888
"The tagline on the box hails, ""100 TRAPPED PASSENGERS... 3,000 VENOMOUS VIPERS!"" You almost have to admire that degree of ""no chance in hell we're ever going to deliver on this promise"" bullshit. I could admire The Asylum's hucksterism more so if they made movies that, well, you know, were good or, at the very least, worth a damn. Haha, and it's what I like about theses movies. They are garbage. You put them in a toilet and then you flush. It worth the price if you are a fan of cheesy movies. It may become a cult classic among many fans. The gore scenes are effectives, there's not much I can say, it's a Z flick that parody the new movie with Samuel L. Jackson, hell, it may be better so who knows!",pos,9,neg,0.554352670196317,0.6437920427897449
"I agree whole-heartedly with the comments so far. I remember this documentary as being one of the most amazing and informative I've ever seen. As stated before, I recall that I began watching, thinking it was just another nature study - interesting, not necessarily special, but I was so wrong. Not only was the story of the colony incredible, but I remember the music as being so much a part of it's appeal. If I remember correctly, it was Native Americn pipes (akin to the music at the end of One Flew Over the Cookoo's Nest). I, too have been looking for a copy. This should be required watching for anybody, but especially the schools. It should be re-released.",pos,10,pos,0.728198340521067,0.923448870309711
"a fine romantic comedy. errol flynn shows what a deft touch for comedy he possessed. a talent that probably shows some of his true prankster self. the comedic writing on this film is excellent. eleanor parker does a nice job as flynn's ex wife whom errol is trying to win back. eleanor is also easy on the eyes. the sets exude 1940's glamour and style where appropriate.flynn's comedic timing and wit are displayed to full effect here, watch his double takes, his ability to verbally counter punch with a snappy comeback or act the straight man, and his total believability and sincerity where required, this guy could act! it is a shame errol did not get a chance to do more roles like this throughout his career, he was multi-talented to the extreme. if you enjoyed ""it happened one night"" with gable and colbert or some of the william powell and myrna loy comedies you will enjoy this.well paced and lots of laughs. a lost diamond of a movie.",pos,10,pos,0.8640451593766642,0.9818322455570658
"The characters were alive and interesting, the plot was excellently paced, the pyro effects were masterfully accomplished, and it takes a basic love triangle story and tosses in a science-fiction element into it. I could identify with many of the characters and their motivations made logical rational sense in the framework of the story.The camera-work was great, the audio clear and accurate, the background music perfectly chosen for effect, the singing firemen a nice talented memorable oddity, the sets brilliantly crafted, and the special effects performed with a skilled talent.I am a tad puzzled how an entire mini-carnival in a chain-store's parking lot could be powered by one single lamppost outlet. That seems impossible to say the least. The fight between the brothers near the end of the movie was brilliant though. Having Jim Varney in a non-clown role was a wonderful touch too as played the semi-serious role of a carny very well.",pos,10,pos,0.8227535504620862,0.971545424080095
"Mario is invited to Princess Peach's castle for cake. When Mario gets there, he finds out that Bowser has kidnapped her! Mario must save the day again. Unlike the 2-D games, Mario can explore anything he wants to. He can just roam around, climb trees trying to look for 1-Ups, find secrets in levels, and more. You can spend four hours in one level. No time limits. There are 16 worlds, with a number of stages, and there are star doors, which you need a certain number of stars to get into. Once you get in these star doors, you must go through a stage and fight Bowser at the end of the stage. To get to certain worlds, you need a number of stars to get in. You enter the world by going through a painting. There is so much stuff to do and so many hours of gameplay, I don't see how anyone could dislike this game. It's great. This launch title is the game that insured gamers that the N64 would have a good life. Every 3D plat-form game we know of has something in common with SM64. Banjo Kazooie and Banjo Tooie are examples that are commonly used. Super Mario 64 is one of the greatest games in the history of 3D games. 10 out of 10. If you have an N64, buy this game. It's hard to find used, because no one's selling this baby for 5 bucks at the pawn shop. A perfect 10.",pos,10,pos,0.7053895512701036,0.9038243412742039
"What can you possibly say? This is the uncut hardcore, musical Alice! It works too with a large energetic cast seemingly enjoying themselves to the hilt and whilst one could wish for a re-mastered version, I guess we are lucky to even have this video transfer. Pretty much a delight throughout. There are a couple of slightly off moments but this could have been embarrassing all through and it certainly is not. It also could have been and today would have been too camp. No, a very fine effort that is amusing, tuneful and just sexy enough. Fine performances particularly the Kristine DeBell in the lead and was that an unaccredited Richard Prior as the prone Knight being vigorously (if discreetly) ridden?",pos,8,pos,0.6212785277421935,0.7894611890719462
"""The Haunted World of Edward D. Wood, Jr."" is the definitive documentary on the life of the man who brought us such movies as ""Glen or Glenda"", ""Bride of the Monster"", and, of course, ""Plan 9 from Outer Space"". This exquisite film far exceeds where other documentaries, such as ""Look Back in Angora"" and ""The Plan 9 Companion"", failed. It rounds up his surviving entourage, many of whom have passed away since filming, and gives an honest examination of Ed Wood and his work. Nostalgic in the fact that it looks back at the darker corner of yesteryear Hollywood, sentimental in its treatment of the director (down to the haunting music), this documentary is an absolute must-see for anyone who loves the director who so failed in his day. The entire two hours of the film lovingly and retrospectively pieces together Ed's life and untimely death for the viewer. Best watched at 3 am while wearing an angora sweater.",pos,10,pos,0.6070215245099854,0.7624480601276975
